Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/items,357,0,100.0,102.62579540654815,54.01320899545681,154.74520799762104,757.0,6.035728449562326,0.0,100,120,130,130,140,150,150,150,150,150,150
POST,/items,65,0,200.0,199.2525288926957,103.29195800295565,303.4410830005072,60.55384615384615,1.0989421546822162,0.0,200,230,250,260,290,300,300,300,300,300,300
GET,/items/1,4,0,47,54.42327124910662,44.76083399640629,65.32549999974435,36.0,0.0676272095189056,0.0,60,60,65,65,65,65,65,65,65,65,65
GET,/items/10,4,0,56,56.71062524925219,42.90229199978057,67.37604199588532,38.0,0.0676272095189056,0.0,60,60,67,67,67,67,67,67,67,67,67
GET,/items/11,5,0,63,63.67472499987343,41.39337500237161,81.23962499666959,38.0,0.08453401189863202,0.0,63,71,71,81,81,81,81,81,81,81,81
GET,/items/12,2,0,62.242291001894046,71.2246455004788,62.242291001894046,80.20699999906356,37.0,0.0338136047594528,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/items/13,5,0,40,47.534300200641155,26.944333003484644,67.66783400234999,38.0,0.08453401189863202,0.0,40,63,63,68,68,68,68,68,68,68,68
GET,/items/14,4,0,61,59.551635500611155,33.26320899941493,73.22483299503801,38.0,0.0676272095189056,0.0,71,71,73,73,73,73,73,73,73,73,73
GET,/items/15,6,0,50,50.587770999603286,25.99920899956487,72.48191699909512,38.0,0.10144081427835842,0.0,51,51,72,72,72,72,72,72,72,72,72
GET,/items/16,5,0,57,54.344691600999795,47.77874999854248,60.02025000634603,37.0,0.08453401189863202,0.0,57,59,59,60,60,60,60,60,60,60,60
GET,/items/17,2,0,37.00120899884496,51.313979496626416,37.00120899884496,65.62674999440787,38.0,0.0338136047594528,0.0,66,66,66,66,66,66,66,66,66,66,66
GET,/items/18,6,0,42,53.49386816912253,37.79650000069523,78.11512500484241,37.0,0.10144081427835842,0.0,58,58,67,67,78,78,78,78,78,78,78
GET,/items/19,6,0,67,61.83777083424502,43.20433300017612,75.11112499923911,38.0,0.10144081427835842,0.0,71,71,71,71,75,75,75,75,75,75,75
